zip,population_size,kappa,nu,avgsh,sdsh,lon,lat,h_crowding,w_crowding
347,602206,7.564838602,0.079369989,0.017324245,0.005224626,-81.59315484,28.47505484,221.787064,18416.28845
349,441300,5.684629788,0.125536687,0.017253027,0.004470986,-80.40712727,27.31645,153.9279106,796.7286122
350,442190,7.639781482,0.550365595,0.013495651,0.006018987,-86.71430702,33.5676,91.89532092,487.2487806
351,324773,7.111399524,0.683653366,0.013582851,0.006072011,-86.63746429,33.50117619,100.1282719,409.80179
352,493806,7.640372854,0.744862413,0.01354737,0.006039401,-86.80018667,33.50506667,112.2819892,1179.218221
354,225321,6.885130901,0.425080712,0.014839453,0.006485955,-87.7883625,33.111525,100.9423427,1072.303953
355,158109,5.473964797,0.874204945,0.013531455,0.006232015,-87.6622075,33.9750225,34.87905175,214.5394859
356,378351,6.386138253,0.569004562,0.013222564,0.006274144,-87.29729722,34.68689444,57.81062019,343.3460476
359,286562,5.842122514,0.386565546,0.013012868,0.006106971,-85.93785641,34.29439231,44.10360886,360.8652358
360,289167,6.892584637,0.319958372,0.014912334,0.006138534,-86.15828182,32.14160182,73.11281154,546.0930432
361,214703,6.36961228,0.327330592,0.015078682,0.006236951,-86.28008462,32.35989231,141.4199663,848.6603267
365,359724,6.345135421,0.452109172,0.01514491,0.005653433,-87.96317288,30.88684407,75.71323258,315.9878886
366,283461,5.819950787,0.603425772,0.015297336,0.005728634,-88.129415,30.68938,91.14270838,562.4855917
368,245035,5.478425963,0.477878704,0.014080153,0.006120567,-85.3535037,32.58598519,81.13566253,731.6037478
370,894222,9.111468989,0.32535482,0.012075807,0.006035225,-86.8599,36.12215938,149.973522,943.2932798
371,611406,8.782509653,0.321550246,0.012864535,0.006550544,-86.76145319,36.07330638,123.4735366,1516.802784
372,431336,6.236857569,0.312118399,0.012047411,0.006013089,-86.7919875,36.14641667,176.2170344,4635.327435
373,564574,7.760951854,0.414838213,0.012392459,0.00592352,-85.34935333,35.26070133,93.39537233,781.987819
374,198659,5.479638606,0.560415964,0.012745822,0.006078326,-85.28335333,35.04553333,129.6829334,1254.813468
376,411097,6.492144451,0.560738924,0.010892593,0.005533157,-82.33832121,36.36908788,69.85571881,947.757749
377,342737,7.234572391,0.626904462,0.011483474,0.005624799,-83.90735625,36.14476458,65.76853323,525.134025
378,523622,7.693172837,0.582568733,0.011475345,0.005620839,-83.80913966,36.09856724,79.99832513,729.8460147
379,391389,7.320441577,0.553041234,0.011712912,0.005733879,-83.98234444,35.96528889,160.7616715,1784.881154
380,419524,7.741386007,0.310743832,0.013239665,0.006543334,-89.437744,35.522678,86.2015365,381.4833623
381,737516,7.974657906,0.288823598,0.013132954,0.006309213,-89.93959667,35.11886333,84.48908149,2857.884651
382,116542,4.929689394,0.673806203,0.01252297,0.006476266,-88.71715714,36.27868214,44.55979832,330.8676812
383,288321,7.465542165,0.689155101,0.012941959,0.006402791,-88.49785254,35.58445085,61.96499939,689.9211694
384,178359,5.772139777,0.699874304,0.012854661,0.00627627,-87.30655,35.29299118,56.20524991,674.2559593
385,230638,6.436242195,0.532252185,0.011428919,0.005692252,-85.41716222,36.19753556,61.39836255,431.2996236
386,406641,7.97691874,0.434420872,0.01337305,0.006384595,-89.80498519,34.58454444,51.89479439,543.4671586
387,118509,5.784335717,0.646781153,0.014451279,0.006439334,-90.81452195,33.56282439,48.87732668,276.7058762
388,261085,7.103957858,0.544420132,0.013677119,0.006329706,-88.61114,34.3366,40.99123806,531.184112
390,275011,6.218643803,0.791587311,0.014984865,0.006140734,-90.16495143,32.48690857,87.08545299,757.8070225
394,371436,8.086673081,0.498522862,0.015691489,0.005957394,-89.30163611,31.34416111,48.17787858,505.5323627
395,383267,6.633892166,0.560226968,0.015582253,0.005701539,-89.01001154,30.45695385,90.39532643,1088.712261
398,108867,5.697464957,0.504774028,0.015652192,0.006030417,-84.64731667,31.34512667,29.58174886,135.4446506
400,246399,7.066837661,0.374192332,0.011021507,0.005842354,-85.32091429,38.1188551,127.2057222,468.7385934
401,144521,5.139485419,0.53580238,0.011709089,0.006345718,-86.16737419,37.86648065,126.7570826,868.3142658
402,736284,6.850386569,0.318385291,0.011071826,0.005820429,-85.69214848,38.20935152,114.9097155,2555.617621
403,330185,6.107271533,0.421961859,0.010848975,0.005740818,-84.18748158,38.04034474,98.22772651,963.5276042
404,183772,7.71978196,0.261561078,0.01104168,0.005771749,-84.41876,37.49276,89.24827147,769.942722
405,296965,5.264791782,0.502075818,0.010846229,0.00571529,-84.49216667,38.02867333,192.4724248,2770.671403
407,106459,5.130713683,0.280093567,0.011357018,0.005769564,-84.08125833,36.95386667,81.61122934,542.6827571
410,492255,7.682758073,0.300160629,0.010678083,0.005864758,-84.43042182,38.79374545,158.7279105,669.2357857
411,138262,7.025614876,0.210961695,0.010565622,0.005747887,-82.96331154,38.38010769,52.08348682,392.4384628
420,222568,5.254525918,0.693873838,0.012197693,0.006424668,-88.57677347,36.91630204,40.85115453,406.9356884
421,215507,7.158944748,0.618966436,0.011659697,0.006063177,-86.04881071,36.87901429,83.08565276,647.0360345
